ticker_h,CIK,EIN,FY,CEO Names,10-K Total Word Count,LTS Total Word Count,LTS Promo Word Count,LTS Preven Word Count,LTS Promo Words Proportion of LTS Total Word Count,LTS Preven Words Proportion of LTS Total Word Count
ARE,1035443.0,9-54502084,2019,Heather Peeler ,79527,953,82,51,0.08612257599999999,0.053799800999999994
Y,775368.0,2-71354706,2007,Weston M. Hicks,49704,940,50,90,0.053492724000000005,0.09602787900000001
Y,775368.0,2-71354706,2008,Weston M. Hicks,38911,915,104,66,0.11363351199999999,0.072191125
Y,775368.0,2-71354706,2009,Weston M. Hicks,37089,970,84,32,0.08705240800000001,0.03345953
Y,775368.0,2-71354706,2010,Weston M. Hicks,37543,985,50,33,0.05049562900000001,0.033728217000000005
ALLE,1579241.0,9-81108930,2013,David Petratis,50305,2109,297,122,0.141003498,0.057934284
ALLE,1579241.0,9-81108930,2014,David Petratis,34653,933,51,29,0.05441504,0.031537326
ALLE,1579241.0,9-81108930,2015,Dave Petratis,32795,829,87,47,0.104987587,0.056429479000000005
ALLE,1579241.0,9-81108930,2016,Dave Petratis,51011,1559,84,82,0.053804979,0.052498293
ALLE,1579241.0,9-81108930,2017,Stanley M. Kuriyama,32171,933,74,24,0.07900779,0.025279722999999997
AGN,1578845.0,0-00000000,1999,David E.I.Pyott ,45101,1109,105,38,0.09472570699999999,0.034550706
AGN,1578845.0,0-00000000,2000,David E.I.Pyott ,43971,1097,113,23,0.102755788,0.020781326
AGN,1578845.0,0-00000000,2001,David E.I.Pyott ,29447,2397,237,95,0.09899036900000001,0.039701728
AGN,1578845.0,0-00000000,2002,David E.I.Pyott ,40392,1048,103,23,0.09806993300000001,0.022222328
AGN,1578845.0,0-00000000,2003,David E.I.Pyott ,41627,996,43,30,0.042675073,0.0304029
AGN,1578845.0,0-00000000,2004,David E.I.Pyott ,39974,1108,89,26,0.080416488,0.023700556
AGN,1578845.0,0-00000000,2005,David E.I.Pyott ,25782,1148,69,89,0.060529187000000005,0.07709136700000001
AGN,1578845.0,0-00000000,2006,David E.I.Pyott ,27919,1070,88,78,0.08189739900000001,0.07309312700000001
AGN,1578845.0,0-00000000,2007,David E.I.Pyott ,54331,1171,152,33,0.129556604,0.028198029
AGN,1578845.0,0-00000000,2008,David E.I.Pyott ,41754,1031,124,21,0.120406149,0.020845083
AGN,1578845.0,0-00000000,2009,David E.I.Pyott ,27268,850,62,56,0.073102057,0.066071276
AGN,1578845.0,0-00000000,2010,David Pyott,48154,1012,44,32,0.043777699999999996,0.031803463
AGN,1578845.0,0-00000000,2011,Roger Angelli ,37339,1112,76,84,0.068138718,0.075520172
AGN,1578845.0,0-00000000,2012,Paul Bisaro,51033,1786,91,110,0.051176474000000007,0.06180993
ALE,66756.0,4-10418150,1997,Carlyn Kowalsky,40247,893,85,60,0.094911639,0.06722915900000001
ALE,66756.0,4-10418150,1999,Carlyn Kowalsky,50840,1073,110,63,0.102329194,0.058891365999999994
ALE,66756.0,4-10418150,2000,Carlyn Kowalsky,27074,1598,89,47,0.055442824,0.029265242
ALE,66756.0,4-10418150,2001,David G. Gartzke,35317,913,136,63,0.14917630699999998,0.068628598
ALE,66756.0,4-10418150,2002,David G. Gartzke,37818,865,92,24,0.10692635800000001,0.02825591
ALE,66756.0,4-10418150,2003,David G. Gartzke,31153,839,52,67,0.06193034099999999,0.079975034
ALE,66756.0,4-10418150,2004,David G. Gartzke,30133,897,56,17,0.061947579,0.018978484
ALE,66756.0,4-10418150,2005,David G. Gartzke,38425,940,55,50,0.058579012,0.053602613
ALE,66756.0,4-10418150,2006,Peter Johnson,39823,874,52,18,0.059961561,0.020997658
ALE,66756.0,4-10418150,2007,Peter Johnson,37398,1151,123,70,0.107161539,0.061167665999999996
ADS,1101215.0,3-11429215,2003,J. Michael Parks,54960,1101,87,19,0.079421542,0.017272843
ADS,1101215.0,3-11429215,2004,J. Michael Parks,28808,1026,103,82,0.10061346800000001,0.080326783
ADS,1101215.0,3-11429215,2005,J. Michael Parks,48777,1118,86,31,0.07707932,0.027331035
ADS,1101215.0,3-11429215,2006,J. Michael Parks,47728,985,38,30,0.039038993,0.030271654
ADS,1101215.0,3-11429215,2007,J. Michael Parks,45110,829,28,46,0.033195229,0.055770927000000005
ADS,1101215.0,3-11429215,2008,Edward J. Heffernan,30260,913,33,38,0.036242921000000004,0.04209676
ADS,1101215.0,3-11429215,2009,Edward J. Heffernan,25641,1180,41,77,0.034354026,0.064926557
ADS,1101215.0,3-11429215,2010,Edward J. Heffernan,77449,1320,57,100,0.043062969000000006,0.076050934
ADS,1101215.0,3-11429215,2011,Edward J. Heffernan,44300,781,113,58,0.14418229,0.074217176
ADS,1101215.0,3-11429215,2012,Edward J. Heffernan,46565,1250,75,35,0.059741105,0.027644555
ADS,1101215.0,3-11429215,2013,Edward J. Heffernan,42215,875,103,30,0.11801882,0.034763432000000004
ADS,1101215.0,3-11429215,2014,Edward J. Heffernan,51006,1370,85,60,0.062031754,0.04405131599999999
ADS,1101215.0,3-11429215,2015,Edward J. Heffernan,27822,955,80,30,0.083698165,0.031379962000000004
ADS,1101215.0,3-11429215,2016,Edward J. Heffernan,53743,777,70,44,0.089875124,0.05668704
ADS,1101215.0,3-11429215,2017,Edward J. Heffernan,76560,1066,63,33,0.05891843099999999,0.031270088
LNT,352541.0,4-20331370,1999,WayneStoppelmoor,44495,963,80,42,0.08298206,0.043198648
LNT,352541.0,4-20331370,2000,Erroll B. Davis,51780,889,80,57,0.090152754,0.064590232
LNT,352541.0,4-20331370,2001,Erroll B. Davis,47417,1047,53,32,0.05049562900000001,0.030271652000000003
LNT,352541.0,4-20331370,2002,Erroll B. Davis,42278,982,79,65,0.080029732,0.065909793
LNT,352541.0,4-20331370,2003,Erroll B. Davis,47340,981,75,16,0.07686,0.016196646999999998
LNT,352541.0,4-20331370,2004,Erroll B. Davis,42849,1024,60,67,0.058362779000000004,0.064966133
LNT,352541.0,4-20331370,2005,Erroll B. Davis,31903,913,66,19,0.072052523,0.020838136
LNT,352541.0,4-20331370,2006,Tony Weiler,36343,927,178,45,0.191562774,0.048133717
LNT,352541.0,4-20331370,2007,Bill Harvey,40388,899,41,13,0.04508544,0.014860782
LNT,352541.0,4-20331370,2008,Bill Harvey,51790,934,104,46,0.11110536,0.049630597
LNT,352541.0,4-20331370,2009,William D Harvey,51246,938,43,58,0.046208112999999995,0.06163727
LNT,352541.0,4-20331370,2010,Bill Harvey,54610,801,37,35,0.045584205999999995,0.043623347
LNT,352541.0,4-20331370,2011,Patricia Leonard Kampling,56564,942,51,88,0.054023349000000005,0.093262759
LNT,352541.0,4-20331370,2012,Patricia Leonard Kampling,49184,942,86,67,0.091254216,0.070695962
LNT,352541.0,4-20331370,2013,Patricia Leonard Kampling,43241,867,27,70,0.031382907,0.080218655
LNT,352541.0,4-20331370,2014,Patricia Leonard Kampling,33047,955,53,19,0.055594069,0.01942059
LNT,352541.0,4-20331370,2015,Patricia Leonard Kampling,35917,885,39,50,0.044026897999999995,0.056833019000000005
LNT,352541.0,4-20331370,2016,Patricia Leonard Kampling,30509,889,80,55,0.089831231,0.062020114
LNT,352541.0,4-20331370,2017,Patricia Leonard Kampling,29682,1049,72,64,0.068377945,0.061321942000000004
LNT,352541.0,4-20331370,2018,John Larsen,53033,990,101,22,0.102366642,0.022500231000000002
ALSN,1411207.0,0-00000000,2012,Lawrence E. Dewey,40457,1120,56,46,0.050256123,0.040645243
ALSN,1411207.0,0-00000000,2013,Lawrence E. Dewey,43724,1165,82,88,0.070044473,0.07518588
ALSN,1411207.0,0-00000000,2014,Lawrence E. Dewey,38713,1059,31,24,0.028931641,0.022665792999999997
ALSN,1411207.0,0-00000000,2015,Lawrence E. Dewey,37461,1026,170,54,0.165949671,0.053016375
ALSN,1411207.0,0-00000000,2017,Lawrence E. Dewey,35187,1226,92,48,0.074902806,0.03906557
ALL,899051.0,3-63871531,1998,Jerry Choate,52995,1312,98,94,0.074364022,0.071916804
ALL,899051.0,3-63871531,1999,Edward M. Liddy,39523,831,25,12,0.029541232,0.014473146000000001
ALL,899051.0,3-63871531,2000,Edward M. Liddy,45038,1055,56,36,0.053200935,0.034586616
ALL,899051.0,3-63871531,2001,Edward M. Liddy,48570,858,90,51,0.105310835,0.05892226
ALL,899051.0,3-63871531,2002,Edward M. Liddy,37143,1075,66,19,0.061742782999999996,0.017590033
ALL,899051.0,3-63871531,2003,Edward M. Liddy,32156,1052,84,22,0.07963278,0.020845083
ALL,899051.0,3-63871531,2004,Edward M. Liddy,35049,992,110,85,0.111050875,0.085254897
ALL,899051.0,3-63871531,2005,Edward M. Liddy,36681,988,41,21,0.041604017,0.021154282000000003
ALL,899051.0,3-63871531,2006,Edward M. Liddy,41658,1031,62,78,0.060137192,0.07529631
ALL,899051.0,3-63871531,2007,Edward M. Liddy,48703,893,79,64,0.088636315,0.07204819
ALL,899051.0,3-63871531,2008,Edward M. Liddy,57186,990,73,48,0.074223882,0.048852012
ALL,899051.0,3-63871531,2009,George Ruebenson,69139,783,87,14,0.110911859,0.018424887
ALL,899051.0,3-63871531,2010,Thomas J. Wilson,65072,1282,83,90,0.06486002099999999,0.07023319
ALL,899051.0,3-63871531,2011,Thomas J. Wilson,67052,1017,69,48,0.068134208,0.047267940999999994
ALL,899051.0,3-63871531,2012,Thomas J. Wilson,56520,956,176,36,0.183762705,0.038159859
ALL,899051.0,3-63871531,2013,Thomas J. Wilson,60030,945,78,65,0.082544979,0.068739252
ALL,899051.0,3-63871531,2014,Thomas J. Wilson,55912,870,38,46,0.044211392999999995,0.053330135
ALL,899051.0,3-63871531,2015,Robert D. Beyer,76826,1038,178,53,0.171169572,0.050830522
ALL,899051.0,3-63871531,2016,Robert D. Beyer,72933,1151,188,23,0.16329935199999998,0.019780438
ALL,899051.0,3-63871531,2017,MARGARET M. KEANE,79819,2400,153,39,0.063646927,0.016089175
ALL,899051.0,3-63871531,2018,JEFFREY J. BROWN,41570,1042,85,34,0.08168148,0.032809141
ALLY,40729.0,3-80572512,2014,JEFFREY J. BROWN,61963,1121,42,53,0.037162107,0.047080940999999994
ALLY,40729.0,3-80572512,2015,JEFFREY J. BROWN,46809,2210,160,195,0.072541032,0.088093884
ALLY,40729.0,3-80572512,2016,JEFFREY J. BROWN,66864,957,84,84,0.087557224,0.08802936300000001
ALLY,40729.0,3-80572512,2017,JEFFREY J. BROWN,74917,1055,72,100,0.067976325,0.09487663699999999
ALLY,40729.0,3-80572512,2018,Jeff Cashman,76985,1055,65,61,0.061360795999999995,0.057748142999999995
ALS,1109616.0,,2005,Brain F. Dalton,48952,1016,114,27,0.11220429400000001,0.026912900000000003
ALS,1109616.0,,2006,Brain F. Dalton,43652,1010,219,27,0.216594774,0.026273785
ALS,1109616.0,,2007,Brain F. Dalton,30145,903,41,31,0.045843084000000006,0.0337909
ALS,1109616.0,,2008,Brain F. Dalton,36480,1150,58,101,0.050667619000000004,0.087703615
ALS,1109616.0,,2009,Brain F. Dalton,39736,1019,40,20,0.039325134,0.019231735
ALS,1109616.0,,2010,Brain F. Dalton,41247,1027,42,39,0.04069651,0.038449343
ALS,1109616.0,,2011,Brain F. Dalton,49180,828,60,19,0.071938404,0.02250767
MO,764180.0,1-33260245,2004,Louis C. Camilleri,34520,975,65,61,0.066856857,0.06278173299999999
MO,764180.0,1-33260245,2005,Louis C. Camilleri,36451,1128,95,98,0.083862046,0.08714714
MO,764180.0,1-33260245,2006,Louis C. Camilleri,40635,1062,160,79,0.150365747,0.074399542
MO,764180.0,1-33260245,2007,Louis C. Camilleri,42967,989,45,21,0.045595998,0.021308534
MO,764180.0,1-33260245,2008,Martin J. Barrington,36280,1583,65,100,0.041287858999999996,0.063138392
MO,764180.0,1-33260245,2009,John R. Nelson,47075,989,41,15,0.041746595,0.014880266000000001
MO,764180.0,1-33260245,2010,John R. Nelson,53152,1317,118,30,0.08971920900000001,0.022666107
MO,764180.0,1-33260245,2012,John R. Nelson,48586,998,57,27,0.057521404000000005,0.027117983999999998
MO,764180.0,1-33260245,2013,John R. Nelson,73839,887,41,57,0.046030735,0.06459235
MO,764180.0,1-33260245,2014,Gerald L. Baliles,35815,1905,265,179,0.139048988,0.093878755
MO,764180.0,1-33260245,2016,Howard Willard,52433,946,82,64,0.08677814800000001,0.067837304
MO,764180.0,1-33260245,2017,Howard Willard,52386,1745,181,56,0.103671334,0.031994654
MO,764180.0,1-33260245,2018,Howard A. Willard III,49733,1509,50,146,0.033196725,0.096673501
DIT,928465.0,4-70702918,2016,Christopher H. Atayan,50971,1420,90,69,0.063519149,0.048609165999999995
DIT,928465.0,4-70702918,2017,Christopher H. Atayan,51407,1115,110,101,0.09882491199999999,0.090815884
DIT,928465.0,4-70702918,2018,Christopher H. Atayan,34326,1074,95,61,0.088287251,0.057032449000000006
DOX,1062579.0,1-14840,2002,Dov Baharav,46830,2351,469,45,0.199659757,0.018959118
DOX,1062579.0,1-14841,2004,Dov Baharav,53084,941,30,58,0.032197263999999996,0.061176180999999996
DOX,1062579.0,1-14842,2005,Dov Baharav,49440,1111,46,38,0.041135932,0.034623242
DOX,1062579.0,1-14843,2006,Dov Baharav,29248,1182,145,92,0.12241881800000001,0.07825269900000001
DOX,1062579.0,1-14844,2007,Dov Baharav,50586,787,43,39,0.054343899,0.04951961
DOX,1062579.0,1-14845,2008,Dov Baharav,53535,1479,103,82,0.069662037,0.055120478
DOX,1062579.0,1-14846,2009,Dov Baharav,39161,973,48,52,0.048961005999999994,0.053951208
DOX,1062579.0,1-14847,2010,Eli Gelman,54680,903,72,84,0.080029732,0.09304193599999999
DOX,1062579.0,1-14848,2011,Eli Gelman,47889,988,59,43,0.060032875,0.04353496900000001
DOX,1062579.0,1-14849,2012,Eli Gelman,32542,820,31,20,0.037629282,0.024441715
DOX,1062579.0,1-14850,2013,Eli Gelman,56905,878,66,30,0.07565137599999999,0.034319999999999996
DOX,1062579.0,1-14851,2014,Eli Gelman,53631,976,93,65,0.094829515,0.066715245
DOX,1062579.0,1-14852,2015,Eli Gelman,56843,1015,92,36,0.090447906,0.035489678999999996
DOX,1062579.0,1-14853,2016,Eli Gelman,44144,935,90,70,0.096056176,0.075040272
DOX,1062579.0,1-14854,2017,Eli Gelman,51518,1079,125,51,0.115406621,0.047178532999999995
DOX,1062579.0,1-14855,2018,Shuky Sheffer,42630,796,50,35,0.062780357,0.043810717
AEE,1002910.0,3-70211380,1997,Charles W. Mueller,53372,968,91,31,0.094088417,0.031797782999999996
AEE,1002910.0,3-70211380,2001,Charles W. Mueller,38639,984,93,65,0.094413875,0.065725027
AEE,1002910.0,3-70211380,2002,Charles W. Mueller,37099,1060,34,101,0.032467932000000005,0.095624402
AEE,1002910.0,3-70211380,2004,Charles W. Mueller,28839,875,120,55,0.137120476,0.062446670999999995
AEE,1002910.0,3-70211380,2005,Doug Poffinbarger,51054,988,126,37,0.127465726,0.037515832
AEE,1002910.0,3-70211380,2006,Scott A. Cisel,52410,980,120,17,0.122543175,0.017609707
AEE,1002910.0,3-70211380,2007,Scott A. Cisel,51039,841,26,63,0.030834697999999997,0.074391284
AEE,1002910.0,3-70211380,2008,Thomas R. Voss,39725,914,82,67,0.090035296,0.073447889
AEE,1002910.0,3-70211380,2009,Thomas R. Voss,75532,919,112,19,0.121543625,0.020832796
AEE,1002910.0,3-70211380,2010,Thomas R. Voss,49294,929,47,22,0.050253367,0.023208317000000003
AEE,1002910.0,3-70211380,2011,Thomas R. Voss,39967,1401,77,46,0.054986212,0.032966092999999995
AEE,1002910.0,3-70211380,2012,Mary P. Heger,44082,843,34,65,0.040736345,0.076917154
AEE,1002910.0,3-70211380,2013,Richard Mark,53025,1084,47,18,0.043357823,0.016689731
AEE,1002910.0,3-70211380,2014,Warner L. Baxer,38592,899,32,19,0.035415442000000005,0.020610444
AEE,1002910.0,3-70211380,2015,Warner L. Baxer,27912,988,40,57,0.040398988,0.057749727
AEE,1002910.0,3-70211380,2016,Warner L. Baxer,54874,999,86,16,0.085663042,0.015568572
AEE,1002910.0,3-70211380,2017,Warner L. Baxer,44826,947,105,50,0.11110536,0.05284081
AEE,1002910.0,3-70211380,2018,Warner L. Baxer,44822,944,102,48,0.107868906,0.050661073
AAC,1324610.0,,2015,Hugh Killen,38527,1072,32,66,0.029598715,0.061864188
AAC,1324610.0,,2016,Hugh Killen,49441,909,89,46,0.097921865,0.050969767
AXL,1062231.0,3-83161171,1999,Richard E. Dauch,79676,868,57,48,0.065114863,0.055563949
AXL,1062231.0,3-83161171,2000,Richard E. Dauch,51195,909,67,15,0.073735795,0.016504835
AXL,1062231.0,3-83161171,2001,Richard E. Dauch,53634,1353,101,64,0.07500209599999999,0.047582782000000004
AXL,1062231.0,3-83161171,2002,Richard E. Dauch,39736,862,37,45,0.042904160999999996,0.051653208
AXL,1062231.0,3-83161171,2003,Richard E. Dauch,45084,871,41,49,0.047139202000000005,0.056376693
AXL,1062231.0,3-83161171,2004,David C Dauch,37903,919,101,32,0.110334236,0.034549436
AXL,1062231.0,3-83161171,2005,Yogendra N. Rahangdale,34754,760,33,50,0.044040472000000004,0.066432151
AXL,1062231.0,3-83161171,2007,Richard E. Dauch,44939,902,42,14,0.04610116,0.015188483999999999
AXL,1062231.0,3-83161171,2008,Richard E. Dauch,50027,1080,64,107,0.059283994000000007,0.099289694
AXL,1062231.0,3-83161171,2009,Richard E. Dauch,38813,1054,58,96,0.054701754000000005,0.09065792199999999
AXL,1062231.0,3-83161171,2012,Richard E. Dauch,53755,871,31,28,0.03518175,0.031614496
AXL,1062231.0,3-83161171,2013,Richard E. Dauch,27751,897,66,64,0.074032389,0.071493975
AXL,1062231.0,3-83161171,2014,Richard E. Dauch,28065,1049,34,54,0.032042114,0.051372165
AXL,1062231.0,3-83161171,2015,Richard E. Dauch,27796,1017,44,19,0.04306176900000001,0.018219025
AXL,1062231.0,3-83161171,2016,Richard E. Dauch,30935,1034,100,67,0.09672512400000001,0.06440663
AXL,1062231.0,3-83161171,2017,Richard E. Dauch,32987,1057,40,32,0.03769171,0.03056463
AXL,1062231.0,3-83161171,2018,Richard E. Dauch,32762,1023,66,20,0.064811405,0.01968218
ACC,1283630.0,7-60753089,2004,Greg Dowell,29185,1043,54,23,0.051959492,0.022192886000000002
ACC,1283630.0,7-60753089,2005,Greg Dowell,29861,837,82,30,0.09792549699999999,0.036326655
ACC,1283630.0,7-60753089,2006,Bill Bayless,36621,1053,152,24,0.144140769,0.023205437000000002
ACC,1283630.0,7-60753089,2007,Bill Bayless,36672,853,46,56,0.054351654000000006,0.065926184
ACC,1283630.0,7-60753089,2008,Bill Bayless,39707,919,88,14,0.096215243,0.015190756000000001
ACC,1283630.0,7-60753089,2009,Bill Bayless,39390,1668,103,87,0.062031754,0.052004651
ACC,1283630.0,7-60753089,2010,Bill Bayless,39842,1118,104,53,0.09259927300000001,0.047080940999999994
ACC,1283630.0,7-60753089,2011,Bill Bayless,37359,1033,43,38,0.041514922999999995,0.036354164
ACC,1283630.0,7-60753089,2012,Bill Bayless,43826,1017,72,46,0.07039825400000001,0.04547357900000001
ACC,1283630.0,7-60753089,2013,Bill Bayless,38442,1000,71,23,0.07079345,0.022726822999999997
ACC,1283630.0,7-60753089,2015,Bill Bayless,40201,1070,66,56,0.06212715,0.052766237
ACC,1283630.0,7-60753089,2016,Bill Bayless,46316,2393,127,100,0.053061103,0.041797083
ACC,1283630.0,7-60753089,2017,Bill Bayless,40211,834,89,13,0.106522542,0.015377948
ACC,1283630.0,7-60753089,2018,Bill Bayless,37294,1068,42,33,0.039038993,0.030971811000000002
ACC,1283630.0,7-60753089,2019,Bill Bayless,51518,929,45,55,0.048768735,0.058939717999999995
ADGE,1378706.0,04-3569304,2007,John Hatsopoulos,33901,901,74,57,0.081801012,0.063696282
